timestamp,metric,source,value
1453450173000,"COMPONENT_HEARTBEAT","panama-scheduler",1.0
1453450324000,"COMPONENT_HEARTBEAT","panama-scheduler",7.0
1453450774000,"COMPONENT_HEARTBEAT","panama-scheduler",4.0
1453451194000,"COMPONENT_HEARTBEAT","panama-scheduler",4.0
1453451374000,"COMPONENT_HEARTBEAT","panama-scheduler",1.0
1453452005000,"COMPONENT_HEARTBEAT","panama-scheduler",2.0
1453452065000,"COMPONENT_HEARTBEAT","panama-scheduler",3.0
1453452605000,"COMPONENT_HEARTBEAT","panama-scheduler",7.0
1453452966000,"COMPONENT_HEARTBEAT","panama-scheduler",1.0
1453453236000,"COMPONENT_HEARTBEAT","panama-scheduler",2.0
1453453836000,"COMPONENT_HEARTBEAT","panama-scheduler",7.0
1453453926000,"COMPONENT_HEARTBEAT","panama-scheduler",7.0
1453454587000,"COMPONENT_HEARTBEAT","panama-scheduler",6.0
1453454707000,"COMPONENT_HEARTBEAT","panama-scheduler",1.0
1453455277000,"COMPONENT_HEARTBEAT","panama-scheduler",5.0
1453455578000,"COMPONENT_HEARTBEAT","panama-scheduler",2.0
1453455878000,"COMPONENT_HEARTBEAT","panama-scheduler",3.0
1453456478000,"COMPONENT_HEARTBEAT","panama-scheduler",5.0
1453456538000,"COMPONENT_HEARTBEAT","panama-scheduler",2.0
1453457199000,"COMPONENT_HEARTBEAT","panama-scheduler",2.0
1453457439000,"COMPONENT_HEARTBEAT","panama-scheduler",3.0
1453457799000,"COMPONENT_HEARTBEAT","panama-scheduler",7.0
1453458340000,"COMPONENT_HEARTBEAT","panama-scheduler",6.0
1453458430000,"COMPONENT_HEARTBEAT","panama-scheduler",2.0
1453459090000,"COMPONENT_HEARTBEAT","panama-scheduler",1.0
1453459211000,"COMPONENT_HEARTBEAT","panama-scheduler",2.0
1453459751000,"COMPONENT_HEARTBEAT","panama-scheduler",4.0
1453460081000,"COMPONENT_HEARTBEAT","panama-scheduler",2.0
1453460411000,"COMPONENT_HEARTBEAT","panama-scheduler",3.0
1453461012000,"COMPONENT_HEARTBEAT","panama-scheduler",2.0
1453461042000,"COMPONENT_HEARTBEAT","panama-scheduler",5.0
1453461672000,"COMPONENT_HEARTBEAT","panama-scheduler",2.0
1453461913000,"COMPONENT_HEARTBEAT","panama-scheduler",5.0
1453462303000,"COMPONENT_HEARTBEAT","panama-scheduler",3.0
1453462783000,"COMPONENT_HEARTBEAT","panama-scheduler",1.0
1453463023000,"COMPONENT_HEARTBEAT","panama-scheduler",1.0
1453463654000,"COMPONENT_HEARTBEAT","panama-scheduler",4.0
1453463684000,"COMPONENT_HEARTBEAT","panama-scheduler",6.0
1453464254000,"COMPONENT_HEARTBEAT","panama-scheduler",3.0
1453464555000,"COMPONENT_HEARTBEAT","panama-scheduler",2.0
1453464855000,"COMPONENT_HEARTBEAT","panama-scheduler",3.0
1453465425000,"COMPONENT_HEARTBEAT","panama-scheduler",6.0
1453465545000,"COMPONENT_HEARTBEAT","panama-scheduler",3.0
1453466146000,"COMPONENT_HEARTBEAT","panama-scheduler",21.0
1453466386000,"COMPONENT_HEARTBEAT","panama-scheduler",2.0
1453466746000,"COMPONENT_HEARTBEAT","panama-scheduler",5.0
1453467287000,"COMPONENT_HEARTBEAT","panama-scheduler",1.0
1453467347000,"COMPONENT_HEARTBEAT","panama-scheduler",7.0
1453467947000,"COMPONENT_HEARTBEAT","panama-scheduler",2.0
1453468157000,"COMPONENT_HEARTBEAT","panama-scheduler",1.0
1453468577000,"COMPONENT_HEARTBEAT","panama-scheduler",1.0
1453469028000,"COMPONENT_HEARTBEAT","panama-scheduler",1.0
1453469178000,"COMPONENT_HEARTBEAT","panama-scheduler",2.0
1453469778000,"COMPONENT_HEARTBEAT","panama-scheduler",3.0
1453469898000,"COMPONENT_HEARTBEAT","panama-scheduler",2.0
1453470379000,"COMPONENT_HEARTBEAT","panama-scheduler",3.0
1453470799000,"COMPONENT_HEARTBEAT","panama-scheduler",2.0
1453470979000,"COMPONENT_HEARTBEAT","panama-scheduler",1.0
1453471640000,"COMPONENT_HEARTBEAT","panama-scheduler",7.0
1453471700000,"COMPONENT_HEARTBEAT","panama-scheduler",1.0
1453472240000,"COMPONENT_HEARTBEAT","panama-scheduler",2.0
1453472570000,"COMPONENT_HEARTBEAT","panama-scheduler",3.0
1453472871000,"COMPONENT_HEARTBEAT","panama-scheduler",1.0
1453473471000,"COMPONENT_HEARTBEAT","panama-scheduler",13.0
1453473531000,"COMPONENT_HEARTBEAT","panama-scheduler",2.0
1453474132000,"COMPONENT_HEARTBEAT","panama-scheduler",4.0
1453474402000,"COMPONENT_HEARTBEAT","panama-scheduler",6.0
1453474762000,"COMPONENT_HEARTBEAT","panama-scheduler",3.0
1453475363000,"COMPONENT_HEARTBEAT","panama-scheduler",4.0
1453475393000,"COMPONENT_HEARTBEAT","panama-scheduler",4.0
1453475993000,"COMPONENT_HEARTBEAT","panama-scheduler",3.0
1453476263000,"COMPONENT_HEARTBEAT","panama-scheduler",3.0
1453476594000,"COMPONENT_HEARTBEAT","panama-scheduler",1.0
1453477134000,"COMPONENT_HEARTBEAT","panama-scheduler",2.0
1453477194000,"COMPONENT_HEARTBEAT","panama-scheduler",4.0
1453477825000,"COMPONENT_HEARTBEAT","panama-scheduler",3.0
1453478005000,"COMPONENT_HEARTBEAT","panama-scheduler",4.0
1453478425000,"COMPONENT_HEARTBEAT","panama-scheduler",3.0
1453478905000,"COMPONENT_HEARTBEAT","panama-scheduler",2.0
1453479025000,"COMPONENT_HEARTBEAT","panama-scheduler",2.0
1453479626000,"COMPONENT_HEARTBEAT","panama-scheduler",5.0
1453479806000,"COMPONENT_HEARTBEAT","panama-scheduler",2.0
1453480226000,"COMPONENT_HEARTBEAT","panama-scheduler",2.0
1453480707000,"COMPONENT_HEARTBEAT","panama-scheduler",2.0
1453480827000,"COMPONENT_HEARTBEAT","panama-scheduler",2.0
1453481457000,"COMPONENT_HEARTBEAT","panama-scheduler",3.0
1453481577000,"COMPONENT_HEARTBEAT","panama-scheduler",2.0
1453482202000,"COMPONENT_HEARTBEAT","panama-scheduler",4.0
1453482442000,"COMPONENT_HEARTBEAT","panama-scheduler",2.0
1453482803000,"COMPONENT_HEARTBEAT","panama-scheduler",3.0
1453483313000,"COMPONENT_HEARTBEAT","panama-scheduler",1.0
1453483433000,"COMPONENT_HEARTBEAT","panama-scheduler",2.0
1453484063000,"COMPONENT_HEARTBEAT","panama-scheduler",1.0
1453484183000,"COMPONENT_HEARTBEAT","panama-scheduler",6.0
1453484663000,"COMPONENT_HEARTBEAT","panama-scheduler",2.0
1453485053000,"COMPONENT_HEARTBEAT","panama-scheduler",2.0
1453485383000,"COMPONENT_HEARTBEAT","panama-scheduler",3.0
1453485924000,"COMPONENT_HEARTBEAT","panama-scheduler",1.0
1453486014000,"COMPONENT_HEARTBEAT","panama-scheduler",2.0
1453486704000,"COMPONENT_HEARTBEAT","panama-scheduler",4.0
1453486794000,"COMPONENT_HEARTBEAT","panama-scheduler",1.0
1453487304000,"COMPONENT_HEARTBEAT","panama-scheduler",1.0
1453487724000,"COMPONENT_HEARTBEAT","panama-scheduler",2.0
1453487994000,"COMPONENT_HEARTBEAT","panama-scheduler",1.0
1453488594000,"COMPONENT_HEARTBEAT","panama-scheduler",3.0
1453488624000,"COMPONENT_HEARTBEAT","panama-scheduler",3.0
1453489315000,"COMPONENT_HEARTBEAT","panama-scheduler",2.0
1453489495000,"COMPONENT_HEARTBEAT","panama-scheduler",21.0
1453489975000,"COMPONENT_HEARTBEAT","panama-scheduler",6.0
1453490425000,"COMPONENT_HEARTBEAT","panama-scheduler",1.0
1453490575000,"COMPONENT_HEARTBEAT","panama-scheduler",1.0
1453491205000,"COMPONENT_HEARTBEAT","panama-scheduler",2.0
1453491325000,"COMPONENT_HEARTBEAT","panama-scheduler",4.0
1453491865000,"COMPONENT_HEARTBEAT","panama-scheduler",1.0
1453492255000,"COMPONENT_HEARTBEAT","panama-scheduler",3.0
1453492555000,"COMPONENT_HEARTBEAT","panama-scheduler",1.0
1453493126000,"COMPONENT_HEARTBEAT","panama-scheduler",3.0
1453493186000,"COMPONENT_HEARTBEAT","panama-scheduler",2.0
1453493816000,"COMPONENT_HEARTBEAT","panama-scheduler",6.0
1453494176000,"COMPONENT_HEARTBEAT","panama-scheduler",2.0
1453494416000,"COMPONENT_HEARTBEAT","panama-scheduler",6.0
1453495046000,"COMPONENT_HEARTBEAT","panama-scheduler",2.0
1453495106000,"COMPONENT_HEARTBEAT","panama-scheduler",2.0
1453495676000,"COMPONENT_HEARTBEAT","panama-scheduler",2.0
1453496006000,"COMPONENT_HEARTBEAT","panama-scheduler",1.0
1453496276000,"COMPONENT_HEARTBEAT","panama-scheduler",2.0
1453496876000,"COMPONENT_HEARTBEAT","panama-scheduler",1.0
1453496936000,"COMPONENT_HEARTBEAT","panama-scheduler",6.0
1453497567000,"COMPONENT_HEARTBEAT","panama-scheduler",1.0
1453497777000,"COMPONENT_HEARTBEAT","panama-scheduler",2.0
1453498257000,"COMPONENT_HEARTBEAT","panama-scheduler",3.0
1453498647000,"COMPONENT_HEARTBEAT","panama-scheduler",5.0
1453498947000,"COMPONENT_HEARTBEAT","panama-scheduler",6.0
1453499517000,"COMPONENT_HEARTBEAT","panama-scheduler",10.0
1453499577000,"COMPONENT_HEARTBEAT","panama-scheduler",3.0
1453500237000,"COMPONENT_HEARTBEAT","panama-scheduler",2.0
1453500387000,"COMPONENT_HEARTBEAT","panama-scheduler",3.0
1453500837000,"COMPONENT_HEARTBEAT","panama-scheduler",1.0
1453501287000,"COMPONENT_HEARTBEAT","panama-scheduler",7.0
1453501437000,"COMPONENT_HEARTBEAT","panama-scheduler",1.0
1453502037000,"COMPONENT_HEARTBEAT","panama-scheduler",2.0
1453502158000,"COMPONENT_HEARTBEAT","panama-scheduler",1.0
1453502638000,"COMPONENT_HEARTBEAT","panama-scheduler",2.0
1453503058000,"COMPONENT_HEARTBEAT","panama-scheduler",1.0
1453503268000,"COMPONENT_HEARTBEAT","panama-scheduler",3.0
1453503868000,"COMPONENT_HEARTBEAT","panama-scheduler",8.0
1453503988000,"COMPONENT_HEARTBEAT","panama-scheduler",1.0
1453504618000,"COMPONENT_HEARTBEAT","panama-scheduler",2.0
1453504858000,"COMPONENT_HEARTBEAT","panama-scheduler",4.0
1453505308000,"COMPONENT_HEARTBEAT","panama-scheduler",3.0
1453505788000,"COMPONENT_HEARTBEAT","panama-scheduler",1.0
1453505968000,"COMPONENT_HEARTBEAT","panama-scheduler",1.0
1453506568000,"COMPONENT_HEARTBEAT","panama-scheduler",4.0
1453506718000,"COMPONENT_HEARTBEAT","panama-scheduler",2.0
1453507168000,"COMPONENT_HEARTBEAT","panama-scheduler",4.0
1453507588000,"COMPONENT_HEARTBEAT","panama-scheduler",5.0
1453507858000,"COMPONENT_HEARTBEAT","panama-scheduler",2.0
1453508458000,"COMPONENT_HEARTBEAT","panama-scheduler",5.0
1453508548000,"COMPONENT_HEARTBEAT","panama-scheduler",1.0
1453509059000,"COMPONENT_HEARTBEAT","panama-scheduler",3.0
1453509449000,"COMPONENT_HEARTBEAT","panama-scheduler",4.0
1453509689000,"COMPONENT_HEARTBEAT","panama-scheduler",2.0
1453510289000,"COMPONENT_HEARTBEAT","panama-scheduler",2.0
1453510349000,"COMPONENT_HEARTBEAT","panama-scheduler",6.0
